🕘️更新时间,#genre#
CETV-2,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CETV-3,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CETV-3,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CETV-3,https://live.zbds.top/tv/iptv6.m3u
CETV-3,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CETV-4,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CETV-4,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CETV-4,https://live.zbds.top/tv/iptv6.m3u
CETV-4,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u

📡卫视频道,#genre#
广东卫视,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
广东卫视,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
广东卫视,https://live.zbds.top/tv/iptv6.m3u
广东卫视,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
香港卫视,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
香港卫视,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
香港卫视,https://live.zbds.top/tv/iptv6.m3u
香港卫视,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
浙江卫视,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
浙江卫视,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
浙江卫视,https://live.zbds.top/tv/iptv6.m3u
浙江卫视,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
湖南卫视,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
湖南卫视,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
湖南卫视,https://live.zbds.top/tv/iptv6.m3u
湖南卫视,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
北京卫视,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
北京卫视,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
北京卫视,https://live.zbds.top/tv/iptv6.m3u
北京卫视,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
湖北卫视,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
湖北卫视,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
湖北卫视,https://live.zbds.top/tv/iptv6.m3u
湖北卫视,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
黑龙江卫视,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
黑龙江卫视,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
黑龙江卫视,https://live.zbds.top/tv/iptv6.m3u
黑龙江卫视,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
安徽卫视,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
安徽卫视,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
安徽卫视,https://live.zbds.top/tv/iptv6.m3u
安徽卫视,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
重庆卫视,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
重庆卫视,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
重庆卫视,https://live.zbds.top/tv/iptv6.m3u
重庆卫视,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
东方卫视,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
东方卫视,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
东方卫视,https://live.zbds.top/tv/iptv6.m3u
东方卫视,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
东南卫视,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
东南卫视,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
东南卫视,https://live.zbds.top/tv/iptv6.m3u
东南卫视,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
甘肃卫视,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
甘肃卫视,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
甘肃卫视,https://live.zbds.top/tv/iptv6.m3u
甘肃卫视,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
广西卫视,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
广西卫视,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
广西卫视,https://live.zbds.top/tv/iptv6.m3u
广西卫视,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
贵州卫视,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
贵州卫视,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
贵州卫视,https://live.zbds.top/tv/iptv6.m3u
